Field Number,CDS501 Name,Code Name,CDS Code,CDS Code Description,CRASH.SER_NO,DMV Crash Serial Number,CRASH.CRASH_MO_NO,Crash Date Month (MM),CRASH.CRASH_HR_NO,Crash Hour,CRASH.CRASH_CNTY_ID,County,CRASH.CITY_SECT_ID,City,CRASH.URB_AREA_CD,Urban Area,CRASH.FC_CD,Functional Classification,CRASH.NHS_FLG,NHS,CRASH.HWY_NO,Highway Number,CRASH.RDWY_NO,Roadway Number,CRASH.HWY_COMPNT_CD,Highway Component,CRASH.MLGE_TYPE_CD,Mileage Type,CRASH.HWY_CMPNT_CD,Connection Number ,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,CRASH.CMPSS_DIR_CD,Direction from Intersection,CRASH.MP_NO,Milepoint,CRASH.POST_SPEED_LMT_VAL,Posted Speed,CRASH.RD_CHAR_CD,Road Character,CRASH.OFF_RDWY_FLG,Off Roadway,CRASH.ISECT_TYP_CD,Intersection Type,CRASH.ISECT_REL_FLG,Intersection Related,CRASH.RNDBT_FLG,Roundabout,CRASH.DRVY_REL_FLG,Driveway Related,CRASH.LN_QTY,Number of Lanes,CRASH.TURNG_LEG_QTY,Number of Turning Legs,CRASH.MEDN_TYP_CD,Median Type,CRASH.CRASH_TYP_CD,Crash Type,CRASH.COLLIS_TYP_CD,Collision Type,CRASH.CRASH.SVRTY_CD,Crash Severity,CRASH.WEATHR_COND_CD,Weather Condition,CRASH.RD_SURF_COND_CD,Road Surface Condition,CRASH.LGT_COND_CD,Light Condition,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,CRASH.INVSTG_AGY_CD,Investigating Agency,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,CRASH.SCHL_ZONE_IND,School Zone,CRASH.WRK_ZONE_IND,Work Zone,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,VHCL.VHCL_USE_CD,Special Use,VHCL.VHCL_TYP_CD,Vehicle Type,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,VHCL.TRLR_QTY,Number of Trailers,VHCL.MVMNT_CD,Vehicle Movement,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,VHCL.ACTN_CD,Vehicle Level Action,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag - a yes/no field entered at the vehicle level. This field indicates that this vehicle was driven in excess of the posted speed.,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run - Vehicle Level Hit and Run is a yes/no field that indicates whether the operator fled the scene of the crash in this vehicle.,PARTIC.VHCL_ID,Participant Level Vehicle Number,PARTIC.PARTIC_TYP_CD,Participant Type,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,PARTIC.PUB_EMPL_FLG,Public Employee,PARTIC.SEX_CD,Sex,PARTIC.AGE_VAL,Age,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,PARTIC.INJ_SVRTY_CD,Injury Severity,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,PARTIC.MVMNT_CD,Non-Motorist Movement,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,PARTIC_ACTN_CD,Participant Level Action,PARTIC_ERR.CRASH_ERR_CD,Error,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,Hit and Run Flag,PARTIC.PARTIC_HIT_RUN_FLG,CRASH.POP_RNG_CD,Population Range,CRASH.RD_CNTRL_CD,Road Control,CRASH.RTE_TYP_CD,Route Type,CRASH.RTE_ID,Route Number,CRASH.REG_ID,ODOT Region,CRASH.DIST_ID,ODOT District,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways
75,Route Number,RTE_ID,CRASH.RTE_ID,Route Number,,,,,,,,,74,Gervais,,,,,,,110,Mist-Clatskanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,Vegetation obscured view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Crash related to another separate crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Unable to determine which driver disregarded traffic control device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Region ID,REG_ID,CRASH.REG_ID,ODOT Region,,,,,,,,,75,Gladstone,,,,,,,120,Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,"View obscured by fence, sign, phone booth, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Two-way traffic on divided roadway all routed to one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,District ID,DIST_ID,CRASH.DIST_ID,ODOT District,,,,,,,,,76,Glendale,,,,,,,123,Northeast Portland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Wind gust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,"Building, other structure (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Segment Marker ID,SEG_MRK_ID,,,,,,,,,,,77,Gold Beach,,,,,,,130,Little Nestucca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,Vehicle immersed in body of water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Other (phantom) non-contact vehicle (On report),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Segment Point LRS Measure,SEG_PT_LRS_MEAS,,,,,,,,,,,78,Gold Hill,,,,,,,131,Netarts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,Fire or explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Guy wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Unlocatable Flag,UNLOCT_FLG,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,,,,,,,,,79,Granite,,,,,,,138,North Umpqua (eff.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,Crash related to another separate crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Berm (Earthen or gravel mound),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Total Vehicle Count,TOT_VHCL_CNT,,,,,,,,,,,80,Grants Pass,,,,,,,140,Hillsboro-Silverton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,Two-way traffic on divided roadway all routed to one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Gravel in roadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Total Fatality Count,TOT_FATAL_CNT,,,,,,,,,,,81,Grass Valley ,,,,,,,141,Beaverton-Tualatin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,"Building, other structure (Effective 2004)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Abrupt edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Total Serious Injury (Inj-A) Count,TOT_INJ_LVL_A_CNT,,,,,,,,,,,82,Greenhorn ,,,,,,,142,Farmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,Other (phantom) non-contact vehicle (On PAR or witness statement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,"Fixed object, unknown type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Total Moderate Injury (Inj-B) Count,TOT_INJ_LVL_B_CNT,,,,,,,,,,,83,Gresham ,,,,,,,143,Scholls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,Cell phone (on PAR or report submitted by driver using phone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,"Non-Fixed object, other or unknown type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Total Minor Injury (Inj-C) Count,TOT_INJ_LVL_C_CNT,,,,,,,,,,,84,Haines,,,,,,,144,Beaverton-Tigard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,Police report indicates teenage driver of an involved vehicle was in violation of graduated license program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,Street car / trolley (on rails and / or overhead wire) struck vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Total Non-Fatal Injury Count,TOT_INJ_CNT,,,,,,,,,,,85,Halfway,,,,,,,150,Salem-Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Guy wire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Vehicle struck street car / trolley (On rails or overhead wires),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Total Count of Un-Injured  Children Age 00-04,TOT_UNINJD_AGE00_04_CNT,,,,,,,,,,,86,Halsey,,,,,,,151,Yamhill-Newberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Berm (Earthen or gravel mound),,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,Vehicle struck railroad equipment (Not train) on tracks. (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Total Count of Un-Injured Persons,TOT_UNINJD_PER_CNT,,,,,,,,,,,87,Happy Valley,,,,,,,153,Bellevue-Hopewell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,Gravel in roadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Rail Crossing Drop Arm Gate (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Total Pedestrian Count,TOT_PED_CNT,,,,,,,,,,,88,Harrisburg,,,,,,,154,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,Abrupt edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,Expansion joint (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Total Pedestrian Fatality Count,TOT_PED_FATAL_CNT,,,,,,,,,,,89,Helix,,,,,,,155,Amity-Dayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Cell phone use witnessed by other participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,Wire or cable median barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Total Pedestrian Non-Fatal Injury Count,TOT_PED_INJ_CNT,,,,,,,,,,,90,Heppner,,,,,,,157,Willamina-Sheridan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,"Fixed object, unknown type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,Fence (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Total Pedalcyclist Count,TOT_PEDCYCL_CNT,,,,,,,,,,,91,Hermiston,,,,,,,160,Cascade Highway South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,"Non-Fixed object, other or unknown type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,"Sliding or swerving due to wet, icy, slippery or loose surface (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Total Pedalcyclist Fatality Count,TOT_PEDCYCL_FATAL_CNT,,,,,,,,,,,92,Hillsboro,,,,,,,161,Woodburn-Estacada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Texting (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,Shoulder gave way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Total Pedalcyclist Non-Fatal Injury Count,TOT_PEDCYCL_INJ_CNT,,,,,,,,,,,93,Hines,,,,,,,162,North Santiam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,Work Zone Worker (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,Rocks / boulder (Not gravel; not rock slide) (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Total Unknown Non-Motorist Count,TOT_UNKNWN_CNT,,,,,,,,,,,94,Hood River,,,,,,,163,Silver Creek Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,Passenger riding on vehicle exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,Rock slide or land slide (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Total Unknown Non-Motorist Fatality Count,TOT_UNKNWN_FATAL_CNT,,,,,,,,,,,95,Hubbard,,,,,,,164,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,Passenger riding on pedalcycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,Curve present at crash location (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Total Unknown Non-Motorist Injury Count,TOT_UNKNWN_INJ_CNT,,,,,,,,,,,96,Huntington,,,,,,,171,Clackamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,Pedestrian in non-motorized wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,"Vertical grade, hill present at crash location (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Total Vehicle Occupant Count,TOT_OCCUP_CNT,,,,,,,,,,,97,Idanha,,,,,,,172,Eagle Creek-Sandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,Pedestrian in motorized wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,Torrential rain (exceptionally heavy rain) (Effective 2016),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Total Count of Persons Involved,TOT_PER_INVLV_CNT,,,,,,,,,,,98,Imbler,,,,,,,173,Timberline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,Law Enforcement / Police Officer (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Total Quantity of Persons Using Safety Equipment  ,TOT_SFTY_EQUIP_USED_QTY,,,,,,,,,,,99,Independence,,,,,,,174,Clackamas-Boring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,"'Sub-Bike': pedal-cyclist injured subsequent to collision, etc. (Effective 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Total Quantity of Persons Not Using Safety Equipment,TOT_SFTY_EQUIP_UNUSED_QTY,,,,,,,,,,,100,Ione,,,,,,,180,Eddyville-Blodgett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,Non-motorist struck vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"Total Quantity of Persons Safety Equipment ""Use Unknown""",TOT_SFTY_EQUIP_USE_UNKNOWN_QTY,,,,,,,,,,,101,Irrigon,,,,,,,181,Siletz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,Street car or trolley (on rails or overhead wire system) struck vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Vehicle Ownership Code,,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,,,,,,,,,102,Island City,,,,,,,189,Dallas-Rickreall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Vehicle struck street car / trolley (On rails or overhead wire system),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Vehicle Special Use Code,,VHCL.VHCL_USE_CD,Special Use,,,,,,,,,103,Jacksonville,,,,,,,191,Kings Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,At or on street car or trolley right-of-way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Vehicle Type Code,,VHCL.VHCL_TYP_CD,Vehicle Type,,,,,,,,,104,Jefferson,,,,,,,193,Independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,Vehicle struck railroad equipment on tracks (Not train),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Emergency Use Flag,,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,,,,,,,,,105,John Day,,,,,,,194,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,Distracted by navigation system or GPS device (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Number of Trailers,,VHCL.TRLR_QTY,Number of Trailers,,,,,,,,,106,Johnson City,,,,,,,200,Territorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,Distracted by other electronic device (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Vehicle Movement Code,,VHCL.MVMNT_CD,Vehicle Movement,,,,,,,,,107,Jordan Valley,,,,,,,201,Alsea-Deadwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Rail crossing drop arm gate (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Vehicle Travel Direction From,,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,,,,,,,,,108,Joseph,,,,,,,210,Corvallis-Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,* Expansion joint (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Vehicle Travel Direction To,,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,,,,,,,,,109,Junction City,,,,,,,211,Albany-Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,* Jersey barrier (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Vehicle Action Code,,VHCL.ACTN_CD,Vehicle Level Action,,,,,,,,,110,Keizer,,,,,,,212,Halsey-Sweet Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,Wire or cable median barrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Vehicle Cause 1 Code,,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,,,,,,,,,111,King City,,,,,,,215,Clear Lake-Belknap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,Fence (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Vehicle Cause 2 Code,,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,,,,,,,,,112,Klamath Falls,,,,,,,222,Springfield-Creswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,Loose object in vehicle struck occupant (Effective 2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Vehicle Cause 3 Code,,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,,,,,,,,,113,Lafayette,,,,,,,225,McVay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,"Sliding or swerving due to wet, icy, slippery or loose surface",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Vehicle Event 1 Code,,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,,,,,,,,,114,La Grande,,,,,,,226,Goshen-Divide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,Shoulder gave way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
